Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register_Failed,Chrome 98.0.4758.82,,,2022-02-11 20:32:41,2022-02-11 20:37:08,4m - 27.586s,PASSED
,,,,,,,
Test Cases/Register_TestCase/Failed Reg_Name left blank,Chrome 98.0.4758.82,,,2022-02-11 20:32:41,2022-02-11 20:33:05,23.446s,PASSED
"openBrowser("""")",Chrome 98.0.4758.82,,,2022-02-11 20:32:42,2022-02-11 20:32:47,4.432s,PASSED
"navigateToUrl(""https://dev.qlue.ai/register/"")",Chrome 98.0.4758.82,,,2022-02-11 20:32:47,2022-02-11 20:32:51,4.442s,PASSED
"setText(findTestObject(""Object Repository/Page_Qlue Smart City  Register Free Trial/input_Name_name""), """")",Chrome 98.0.4758.82,,,2022-02-11 20:32:51,2022-02-11 20:32:53,2.037s,PASSED
"setText(findTestObject(""Object Repository/Page_Qlue Smart City  Register Free Trial/input_Email_email""), ""ganjar.sayog1@gmail.com"")",Chrome 98.0.4758.82,,,2022-02-11 20:32:53,2022-02-11 20:32:54,1.303s,PASSED
"setText(findTestObject(""Object Repository/Page_Qlue Smart City  Register Free Trial/input_Company_company""), ""PT. ABC"")",Chrome 98.0.4758.82,,,2022-02-11 20:32:54,2022-02-11 20:32:55,0.945s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Register Free Trial/div_Phone_arrow down""))",Chrome 98.0.4758.82,,,2022-02-11 20:32:55,2022-02-11 20:32:58,3.178s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Register Free Trial/span_Indonesia""))",Chrome 98.0.4758.82,,,2022-02-11 20:32:58,2022-02-11 20:33:01,2.954s,PASSED
"setText(findTestObject(""Object Repository/Page_Qlue Smart City  Register Free Trial/input_358_phone""), ""81345755941"")",Chrome 98.0.4758.82,,,2022-02-11 20:33:01,2022-02-11 20:33:02,1.010s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Register Free Trial/button_GET STARTED NOW""))",Chrome 98.0.4758.82,,,2022-02-11 20:33:02,2022-02-11 20:33:03,0.533s,PASSED
"verifyElementPresent(findTestObject(""Page_Qlue Smart City  Register Free Trial/span_Please enter Your name""), 0)",Chrome 98.0.4758.82,,,2022-02-11 20:33:03,2022-02-11 20:33:04,0.864s,PASSED
closeBrowser(),Chrome 98.0.4758.82,,,2022-02-11 20:33:04,2022-02-11 20:33:05,0.857s,PASSED
,,,,,,,
Test Cases/Register_TestCase/Failed Reg_Name with 3 char,Chrome 98.0.4758.82,,,2022-02-11 20:33:05,2022-02-11 20:33:26,21.025s,PASSED
"openBrowser("""")",Chrome 98.0.4758.82,,,2022-02-11 20:33:05,2022-02-11 20:33:07,1.669s,PASSED
"navigateToUrl(""https://dev.qlue.ai/register/"")",Chrome 98.0.4758.82,,,2022-02-11 20:33:07,2022-02-11 20:33:13,6.410s,PASSED
"setText(findTestObject(""Object Repository/Page_Qlue Smart City  Register Free Trial/input_Name_name""), ""Gan"")",Chrome 98.0.4758.82,,,2022-02-11 20:33:13,2022-02-11 20:33:15,1.293s,PASSED
"setText(findTestObject(""Object Repository/Page_Qlue Smart City  Register Free Trial/input_Email_email""), ""ganjar.sayog3@gmail.com"")",Chrome 98.0.4758.82,,,2022-02-11 20:33:15,2022-02-11 20:33:16,1.034s,PASSED
"setText(findTestObject(""Object Repository/Page_Qlue Smart City  Register Free Trial/input_Company_company""), ""PT. ABC"")",Chrome 98.0.4758.82,,,2022-02-11 20:33:16,2022-02-11 20:33:17,0.959s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Register Free Trial/div_Phone_arrow down""))",Chrome 98.0.4758.82,,,2022-02-11 20:33:17,2022-02-11 20:33:20,2.993s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Register Free Trial/span_Indonesia""))",Chrome 98.0.4758.82,,,2022-02-11 20:33:20,2022-02-11 20:33:22,2.870s,PASSED
"setText(findTestObject(""Object Repository/Page_Qlue Smart City  Register Free Trial/input_358_phone""), ""81345755941"")",Chrome 98.0.4758.82,,,2022-02-11 20:33:22,2022-02-11 20:33:23,0.996s,PASSED
"click(findTestObject(""Object Repository/Page_Qlue Smart City  Register Free Trial/button_GET STARTED NOW""))",Chrome 98.0.4758.82,,,2022-02-11 20:33:23,2022-02-11 20:33:24,0.620s,PASSED
"verifyElementPresent(findTestObject(""Page_Qlue Smart City  Register Free Trial/span_Character minimal 4 and maximal 50""), 0)",Chrome 98.0.4758.82,,,2022-02-11 20:33:24,2022-02-11 20:33:25,0.736s,PASSED
closeBrowser(),Chrome 98.0.4758.82,,,2022-02-11 20:33:25,2022-02-11 20:33:26,0.854s,PASSED
,,,,,,,
Test Cases/Register_TestCase/Failed Reg_Name with 51 char,Chrome 98.0.4758.82,,,2022-02-11 20:33:26,2022-02-11 20:33:47,21.323s,PASSED
